,area,latitude,longitude,bedrooms,bathrooms,balcony,ready_to_move,new_housing,parking,lift,flat_or_individual,furnished_status_Semi-Furnished,furnished_status_Unfurnished
152,935,19.228849,72.84883,2,2,0,1,0,0,0,1,0,1
153,1200,19.112232,72.841666,2,2,0,1,0,0,0,1,0,1
154,1170,19.1054406,72.8411208,3,4,0,1,0,0,0,1,0,0
155,865,19.13844,72.812187,2,2,0,1,0,0,0,1,1,0
156,1170,19.14413,72.8241,3,3,0,1,0,0,0,1,0,0
157,1232,19.100385665893555,72.8504638671875,3,3,0,1,0,0,0,1,1,0
158,750,19.1154908,72.87269520000001,2,2,0,1,0,0,0,1,1,0
159,672,18.9953333,72.8300383,2,2,1,1,1,1,1,1,0,1
160,850,19.19576,72.83778000000001,2,2,0,1,0,0,0,1,1,0
161,870,19.1654181,72.9667254,2,2,0,1,0,0,0,1,0,1
162,1200,19.16541862487793,72.96672821044922,3,3,4,1,0,4,4,0,0,1
163,1060,19.16664,72.835254,2,2,0,1,0,0,0,1,0,1
164,1030,19.27584635,72.87033299,2,2,2,1,0,2,2,1,0,1
165,845,19.072083291847104,72.8263353132757,2,2,0,1,0,0,0,1,0,1
166,1016,19.055229,72.83082900000001,2,2,3,1,0,3,3,1,1,0
167,1400,19.2099437,72.83086920000001,4,4,0,1,0,0,0,1,0,0
168,875,19.4540588,72.7688226,2,2,0,1,0,0,0,1,0,0
169,1780,19.18045,72.94293,4,4,7,1,0,7,7,1,0,1
170,1350,19.2143593,72.8635757,3,3,0,1,0,0,0,1,0,1
171,725,19.13832,72.81002,2,2,0,1,0,0,0,1,0,0
172,1100,19.155994,72.847275,3,3,1,1,1,1,1,1,0,1
173,620,19.28998,72.79180799999999,2,2,1,1,0,1,1,1,0,1
174,1688,19.15578269958496,72.88719940185547,3,3,1,1,0,1,1,1,0,1
175,1600,19.0682805,72.82919,3,4,0,1,0,0,0,1,0,1
176,1050,19.1889733,72.8220064,2,2,0,1,0,0,0,1,0,0
177,800,19.1988214,72.8701056,2,2,0,1,0,0,0,1,0,1
178,860,19.1889733,72.8220064,2,2,0,1,0,0,0,1,0,1
179,650,19.08565,72.90822,2,2,0,1,0,0,0,1,0,1
180,920,19.058354100000003,72.8802798,2,2,2,1,0,2,2,1,0,1
181,800,19.3093926,72.8485939,2,2,0,1,0,0,0,1,0,0
182,660,19.1297376,72.8291555,2,2,0,1,0,0,0,1,0,0
183,1010,19.1590077,72.86927109999999,2,2,0,1,0,0,0,1,0,1
184,600,19.18546,72.82066999999999,2,2,1,1,0,1,1,1,0,1
185,764,19.153299,72.88662099999999,2,2,1,1,0,1,1,1,0,1
186,1850,19.01829,72.83407700000001,3,3,0,1,0,0,0,0,0,1
187,1050,19.073390300000003,72.8654319,2,2,0,1,1,0,0,1,0,1
188,600,19.0151285,72.8580644,2,2,1,1,1,1,1,1,1,0
189,968,19.147269,72.848351,3,3,0,1,1,0,0,1,0,1
190,1050,19.2834411,72.882751,2,2,0,1,0,0,0,1,0,1
191,870,19.248775,72.855005,2,2,0,1,0,0,0,1,0,1
192,1233,19.1476838975787,72.9345592459361,2,2,1,1,1,1,1,1,0,1
193,1000,19.151461,72.941653,2,2,0,1,0,0,0,1,0,1
194,1850,19.2335321,72.839198,4,4,6,1,1,6,6,1,0,1
195,940,19.070619583129886,72.90352630615234,2,2,1,1,0,1,1,0,1,0
196,800,19.18546,72.82066999999999,2,2,0,1,1,0,0,1,0,1
197,693,19.06477928161621,73.04431915283203,2,2,1,1,1,1,1,1,1,0
198,1765,19.2099437,72.83086920000001,3,3,0,1,0,0,0,1,0,1
199,1200,19.0327996,72.89635679999999,2,2,4,1,0,4,4,1,0,1
200,820,19.20159,72.81882,2,2,0,1,0,0,0,1,0,0
201,1690,19.2373371,72.87043829999999,3,4,0,1,0,0,0,1,0,1
202,900,19.12021420298,72.9299633704782,2,2,0,1,0,0,0,0,0,1
203,1017,19.295849,72.868476,2,2,4,1,1,4,4,1,0,1
204,900,19.28580666666669,72.8729566666667,2,2,0,1,0,0,0,1,0,1
205,700,19.1297376,72.8291555,2,2,1,1,0,1,1,1,0,1
206,714,19.166970000000003,72.83154,2,2,0,1,0,0,0,1,0,1
207,882,19.26231203,72.87409673,2,2,1,1,0,1,1,1,0,1
208,607,19.2335321,72.839198,2,2,0,1,0,0,0,1,0,1
209,550,19.0472012,72.8722249,2,2,0,1,0,0,0,1,1,0
210,1100,19.4540588,72.7688226,2,2,0,1,0,0,0,1,1,0
211,930,19.0561802,72.9080628,2,2,0,1,0,0,0,1,0,1
212,1200,19.0627565,72.8545019,2,2,0,1,0,0,0,1,0,0
213,880,19.055229,72.83082900000001,2,3,0,1,0,0,0,1,0,1
214,1200,19.3104714,72.8452862,3,3,0,1,0,0,0,1,0,1
215,955,19.03731,72.87871,2,2,3,1,1,3,3,1,0,1
216,817,19.1654181,72.9667254,2,2,0,1,0,0,0,1,0,0
217,1040,18.9790647,72.83884990000001,2,2,0,1,0,0,0,1,0,1
218,1165,19.2100762,72.8650676,2,2,3,1,0,3,3,1,0,1
219,875,19.1654181,72.9667254,2,2,0,1,0,0,0,1,1,0
220,1000,19.068050384521484,72.89604949951172,2,2,0,1,0,0,0,1,0,1
221,1150,19.129737854003903,72.82915496826172,3,2,3,1,0,3,3,1,0,1
222,850,18.950754,72.80206379999998,2,2,0,1,0,0,0,1,1,0
223,750,19.168585,72.939758,2,2,0,1,0,0,0,1,0,1
224,1100,18.9900111,72.8350396,2,2,0,1,1,0,0,1,0,1
225,1700,18.9542861,72.801325,2,3,1,1,0,1,1,1,0,0
226,1250,18.965076446533203,72.83099365234375,2,2,0,1,0,0,0,1,1,0
227,690,19.032798767089844,72.89635467529297,2,2,0,1,0,0,0,1,0,1
228,1496,19.0621455334278,72.89429255264979,2,2,3,1,0,3,3,1,0,1
229,750,19.159226,72.932291,2,2,0,1,1,0,0,1,0,1
230,800,19.230865478515625,73.07137298583984,2,2,0,1,0,0,0,1,1,0
231,1275,19.207013957875898,72.87943298291121,3,3,1,1,0,1,1,1,0,1
232,1150,19.227678298950195,72.84342193603516,2,2,0,1,1,0,0,1,0,1
233,930,19.285007,72.871962,2,2,4,1,0,4,4,1,1,0
